{'中债国债到期收益率_0年': 1.8065, '中债国债到期收益率_1个月': 1.8119, '中债国债到期收益率_2个月': 1.838, '中债国债到期收益率_3个月': 2.2686, '中债国债到期收益率_6个月': 2.4131, '中债国债到期收益率_9个月': 2.819, '中债国债到期收益率_1年': 2.8879, '中债国债到期收益率_2年': 3.0116, '中债国债到期收益率_3年': 3.2077, '中债国债到期收益率_4年': 3.3091, '中债国债到期收益率_5年': 3.3762, '中债国债到期收益率_6年': 3.494, '中债国债到期收益率_7年': 3.5613, '中债国债到期收益率_8年': 3.5676, '中债国债到期收益率_9年': 3.5696, '中债国债到期收益率_10年': 3.5709, '中债国债到期收益率_15年': 3.8448, '中债国债到期收益率_20年': 3.8859, '中债国债到期收益率_30年': 4.1299, '中债国债到期收益率_40年': 4.1323, '中债国债到期收益率_50年': 4.1343, 'Date': datetime.date(2018, 10, 23)}
{'中债国债到期收益率_0年': 1.7485, '中债国债到期收益率_1个月': 1.8341, '中债国债到期收益率_2个月': 1.8593, '中债国债到期收益率_3个月': 2.3093, '中债国债到期收益率_6个月': 2.4347, '中债国债到期收益率_9个月': 2.8104, '中债国债到期收益率_1年': 2.8562, '中债国债到期收益率_2年': 2.9859, '中债国债到期收益率_3年': 3.196, '中债国债到期收益率_4年': 3.3002, '中债国债到期收益率_5年': 3.3664, '中债国债到期收益率_6年': 3.4871, '中债国债到期收益率_7年': 3.55, '中债国债到期收益率_8年': 3.5467, '中债国债到期收益率_9年': 3.5419, '中债国债到期收益率_10年': 3.5409, '中债国债到期收益率_15年': 3.8149, '中债国债到期收益率_20年': 3.856, '中债国债到期收益率_30年': 4.1002, '中债国债到期收益率_40年': 4.1025, '中债国债到期收益率_50年': 4.1045, 'Date': datetime.date(2018, 10, 24)}
{'中债国债到期收益率_0年': 1.5705, '中债国债到期收益率_1个月': 1.8402, '中债国债到期收益率_2个月': 1.8593, '中债国债到期收益率_3个月': 2.2795, '中债国债到期收益率_6个月': 2.4225, '中债国债到期收益率_9个月': 2.8119, '中债国债到期收益率_1年': 2.8562, '中债国债到期收益率_2年': 2.9837, '中债国债到期收益率_3年': 3.1913, '中债国债到期收益率_4年': 3.2909, '中债国债到期收益率_5年': 3.3516, '中债国债到期收益率_6年': 3.4741, '中债国债到期收益率_7年': 3.54, '中债国债到期收益率_8年': 3.54, '中债国债到期收益率_9年': 3.54, '中债国债到期收益率_10年': 3.5409, '中债国债到期收益率_15年': 3.8049, '中债国债到期收益率_20年': 3.846, '中债国债到期收益率_30年': 4.0802, '中债国债到期收益率_40年': 4.0825, '中债国债到期收益率_50年': 4.0845, 'Date': datetime.date(2018, 10, 25)}
{'中债国债到期收益率_0年': 1.5205, '中债国债到期收益率_1个月': 1.8696, '中债国债到期收益率_2个月': 1.8966, '中债国债到期收益率_3个月': 2.2697, '中债国债到期收益率_6个月': 2.4189, '中债国债到期收益率_9个月': 2.8037, '中债国债到期收益率_1年': 2.844, '中债国债到期收益率_2年': 2.9747, '中债国债到期收益率_3年': 3.1919, '中债国债到期收益率_4年': 3.291, '中债国债到期收益率_5年': 3.3417, '中债国债到期收益率_6年': 3.4565, '中债国债到期收益率_7年': 3.5271, '中债国债到期收益率_8年': 3.5363, '中债国债到期收益率_9年': 3.5394, '中债国债到期收益率_10年': 3.541, '中债国债到期收益率_15年': 3.8049, '中债国债到期收益率_20年': 3.846, '中债国债到期收益率_30年': 4.0802, '中债国债到期收益率_40年': 4.0825, '中债国债到期收益率_50年': 4.0845, 'Date': datetime.date(2018, 10, 26)}
{'中债国债到期收益率_0年': 1.5205, '中债国债到期收益率_1个月': 1.8686, '中债国债到期收益率_2个月': 1.9014, '中债国债到期收益率_3个月': 2.2845, '中债国债到期收益率_6个月': 2.4202, '中债国债到期收益率_9个月': 2.7873, '中债国债到期收益率_1年': 2.8203, '中债国债到期收益率_2年': 2.9456, '中债国债到期收益率_3年': 3.1479, '中债国债到期收益率_4年': 3.2477, '中债国债到期收益率_5年': 3.3126, '中债国债到期收益率_6年': 3.4335, '中债国债到期收益率_7年': 3.5015, '中债国债到期收益率_8年': 3.5076, '中债国债到期收益率_9年': 3.5097, '中债国债到期收益率_10年': 3.5111, '中债国债到期收益率_15年': 3.7898, '中债国债到期收益率_20年': 3.8309, '中债国债到期收益率_30年': 4.08, '中债国债到期收益率_40年': 4.0823, '中债国债到期收益率_50年': 4.0843, 'Date': datetime.date(2018, 10, 29)}
{'中债国债到期收益率_0年': 1.5205, '中债国债到期收益率_1个月': 1.8577, '中债国债到期收益率_2个月': 1.8788, '中债国债到期收益率_3个月': 2.2471, '中债国债到期收益率_6个月': 2.4071, '中债国债到期收益率_9个月': 2.7748, '中债国债到期收益率_1年': 2.8054, '中债国债到期收益率_2年': 2.933, '中债国债到期收益率_3年': 3.1385, '中债国债到期收益率_4年': 3.2405, '中债国债到期收益率_5年': 3.308, '中债国债到期收益率_6年': 3.4351, '中债国债到期收益率_7年': 3.5065, '中债国债到期收益率_8年': 3.5126, '中债国债到期收益率_9年': 3.5147, '中债国债到期收益率_10年': 3.5161, '中债国债到期收益率_15年': 3.7814, '中债国债到期收益率_20年': 3.8225, '中债国债到期收益率_30年': 4.0577, '中债国债到期收益率_40年': 4.0604, '中债国债到期收益率_50年': 4.0624, 'Date': datetime.date(2018, 10, 30)}
{'中债国债到期收益率_0年': 1.8805, '中债国债到期收益率_1个月': 1.8899, '中债国债到期收益率_2个月': 1.9425, '中债国债到期收益率_3个月': 2.3212, '中债国债到期收益率_6个月': 2.6255, '中债国债到期收益率_9个月': 2.7931, '中债国债到期收益率_1年': 2.8054, '中债国债到期收益率_2年': 2.9415, '中债国债到期收益率_3年': 3.1595, '中债国债到期收益率_4年': 3.2572, '中债国债到期收益率_5年': 3.3129, '中债国债到期收益率_6年': 3.4379, '中债国债到期收益率_7年': 3.5054, '中债国债到期收益率_8年': 3.5069, '中债国债到期收益率_9年': 3.5075, '中债国债到期收益率_10年': 3.5086, '中债国债到期收益率_15年': 3.7764, '中债国债到期收益率_20年': 3.8175, '中债国债到期收益率_30年': 4.0552, '中债国债到期收益率_40年': 4.0579, '中债国债到期收益率_50年': 4.0599, 'Date': datetime.date(2018, 10, 31)}
{'中债国债到期收益率_0年': 1.8805, '中债国债到期收益率_1个月': 1.905, '中债国债到期收益率_2个月': 1.9463, '中债国债到期收益率_3个月': 2.3114, '中债国债到期收益率_6个月': 2.6138, '中债国债到期收益率_9个月': 2.7745, '中债国债到期收益率_1年': 2.7858, '中债国债到期收益率_2年': 2.9399, '中债国债到期收益率_3年': 3.1806, '中债国债到期收益率_4年': 3.271, '中债国债到期收益率_5年': 3.3076, '中债国债到期收益率_6年': 3.4308, '中债国债到期收益率_7年': 3.5, '中债国债到期收益率_8年': 3.4975, '中债国债到期收益率_9年': 3.4939, '中债国债到期收益率_10年': 3.4936, '中债国债到期收益率_15年': 3.7627, '中债国债到期收益率_20年': 3.8038, '中债国债到期收益率_30年': 4.0428, '中债国债到期收益率_40年': 4.0469, '中债国债到期收益率_50年': 4.0516, 'Date': datetime.date(2018, 11, 1)}
{'中债国债到期收益率_0年': 1.8805, '中债国债到期收益率_1个月': 1.9449, '中债国债到期收益率_2个月': 2.0259, '中债国债到期收益率_3个月': 2.2976, '中债国债到期收益率_6个月': 2.6625, '中债国债到期收益率_9个月': 2.7777, '中债国债到期收益率_1年': 2.7863, '中债国债到期收益率_2年': 2.9441, '中债国债到期收益率_3年': 3.1915, '中债国债到期收益率_4年': 3.2846, '中债国债到期收益率_5年': 3.3229, '中债国债到期收益率_6年': 3.4558, '中债国债到期收益率_7年': 3.5366, '中债国债到期收益率_8年': 3.5427, '中债国债到期收益率_9年': 3.5447, '中债国债到期收益率_10年': 3.5461, '中债国债到期收益率_15年': 3.8039, '中债国债到期收益率_20年': 3.845, '中债国债到期收益率_30年': 4.0728, '中债国债到期收益率_40年': 4.0769, '中债国债到期收益率_50年': 4.0816, 'Date': datetime.date(2018, 11, 2)}
{'中债国债到期收益率_0年': 1.8805, '中债国债到期收益率_1个月': 2.0013, '中债国债到期收益率_2个月': 2.1492, '中债国债到期收益率_3个月': 2.2802, '中债国债到期收益率_6个月': 2.6836, '中债国债到期收益率_9个月': 2.7681, '中债国债到期收益率_1年': 2.7763, '中债国债到期收益率_2年': 2.9369, '中债国债到期收益率_3年': 3.1882, '中债国债到期收益率_4年': 3.2832, '中债国债到期收益率_5年': 3.3238, '中债国债到期收益率_6年': 3.468, '中债国债到期收益率_7年': 3.523, '中债国债到期收益率_8年': 3.5281, '中债国债到期收益率_9年': 3.5297, '中债国债到期收益率_10年': 3.5312, '中债国债到期收益率_15年': 3.7952, '中债国债到期收益率_20年': 3.8363, '中债国债到期收益率_30年': 4.0704, '中债国债到期收益率_40年': 4.0744, '中债国债到期收益率_50年': 4.0791, 'Date': datetime.date(2018, 11, 5)}
