
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
Sucessful
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
{'Date': datetime.date(2019, 1, 2), 'SHIBOR_隔夜': 2.3, 'SHIBOR_1周': 2.634, 'SHIBOR_2周': 2.802, 'SHIBOR_1个月': 3.2, 'SHIBOR_3个月': 3.285, 'SHIBOR_6个月': 3.292, 'SHIBOR_9个月': 3.472, 'SHIBOR_1年': 3.511}
{'Date': datetime.date(2019, 1, 3), 'SHIBOR_隔夜': 1.968, 'SHIBOR_1周': 2.547, 'SHIBOR_2周': 2.673, 'SHIBOR_1个月': 3.084, 'SHIBOR_3个月': 3.246, 'SHIBOR_6个月': 3.286, 'SHIBOR_9个月': 3.466, 'SHIBOR_1年': 3.507}
